NAME,MASS,PER
,mjupiter,day
Kepler-1224 b,0.00796813,13.32351601
Kepler-335 b,0.0346488,6.562331
WASP-16 b,0.842294,3.1186009
Kepler-316 b,0.00359062,2.240508
HD 152581 b,1.51375,689
KIC 11442793 h,0.937417,331.60059
Kepler-103 b,0.0305195,15.9654
Kepler-1426 b,0.0116544,14.2563227
Kepler-993 b,0.0263549,22.08557563
Kepler-338 b,0.0189734,13.726976
Kepler-1588 b,0.00111394,7.84931739
Kepler-985 b,0.0265453,116.331901
Kepler-974 b,0.0117248,4.19449651
Kepler-1248 b,0.00518721,7.46725407
Kepler-129 b,0.0182069,15.79186
Kepler-1331 b,0.00351465,0.78916165
PH-1 b,0.100437,138.506
Kepler-306 d,0.019315,17.326644
Kepler-37 d,0.00577478,39.792187
Kepler-856 b,0.564251,8.02768059
HD 13908 c,5.13,931
HD 125595 b,0.0416764,9.6737
Kepler-1499 b,0.0053608,44.2008
WASP-79 b,0.887514,3.6623817
Kepler-1470 b,0.00364938,16.2950903
Kepler-107 b,0.0116666,3.179997
Kepler-1040 b,0.0154788,201.1214
Kepler-1542 c,0.000639382,2.89223021
Kepler-109 c,0.0199023,21.2227
HIP 57274 c,0.410096,32.03
Kepler-30 d,0.0726872,143.343
Kepler-1349 b,0.000806332,2.12823928
Kepler-877 b,0.0157709,18.45847097
Kepler-720 b,0.381266,4.70832654
Kepler-932 b,0.00866602,1.9214374
Kepler-1628 b,0.112141,76.378033
Kepler-158 c,0.0139923,28.551383
Kepler-858 b,0.0783692,76.13602028
Kepler-777 b,0.0109866,5.72812599
HD 93083 b,0.368176,143.58
Kepler-970 b,0.0231879,16.73652231
HD 31253 b,0.501427,466
Kepler-1579 b,0.00157306,0.84990789
Kepler-191 d,0.0172355,5.94504102
Kepler-357 c,0.0218083,16.85837
Kepler-861 b,0.0172355,3.94963138
Kepler-1258 b,0.00172655,0.98494017
TRAPPIST-1 c,0.00337211,2.421848
Kepler-552 b,0.0499388,5.26341577
HD 89744 b,8.18778,256.78
Kepler-1441 b,0.00752338,39.4419839
Kepler-1341 b,0.0267373,132.9968322
Kepler-738 b,0.01966,24.58721573
HD 183263 c,3.47646,3066
WASP-42 b,0.496968,4.9816877
Kepler-1612 b,0.00325512,3.91795101
Kepler-885 b,0.01966,18.11472949
Kepler-53 d,0.0157841,9.751962
Kepler-48 b,0.0123966,4.778
Kepler-1614 b,0.0115494,3.9466141
HD 192310 c,0.0736073,525.8
HD 1690 b,6.52644,533
HAT-P-41 b,0.800254,2.694047
Kepler-1493 b,0.00965491,15.0217983
Kepler-42 c,0.000954523,0.45328509
Kepler-1492 b,0.0115494,16.75255007
HD 28185 b,5.79721,379
HIP 97233 b,19.8471,1058.8
Kepler-1461 b,0.0150076,29.3494775
Kepler-846 b,0.019398,19.80792185
HD 23127 b,1.40487,1214
HD 154672 b,5.00638,163.94
Kepler-275 d,0.0333072,35.676062
Kepler-52 b,0.015593,7.8773565
Kepler-1561 b,0.00392895,1.00520701
OGLE-TR-10 b,0.62,3.10129
Kepler-370 b,0.011856,4.57953
Kepler-601 b,0.014034,5.37886844
gamma Leo A b,10.3722,428.5
NN Ser c,2.24099,5571
Kepler-1179 b,0.00774372,2.68505749
Kepler-930 b,0.0158698,71.4517775
Kepler-1073 b,0.0174594,8.67888593
HAT-P-2 b,8.87066,5.6334729
HAT-P-24 b,0.685857,3.35524
HD 11506 b,4.7347,1405
Kepler-758 c,0.0125233,4.75793986
tau Boo b,5.95,3.312433
Kepler-422 b,1,7.8914483
Kepler-124 c,0.0129124,13.821375
Kepler-1081 b,0.0030088,3.85691855
Kepler-1539 b,0.0222358,133.3036741
Kepler-1458 b,0.0230257,47.9872764
Kepler-184 c,0.0145328,20.303005
XO-2S c,1.371,120.8
HD 34445 b,0.790506,1049
Kepler-318 b,0.0733215,4.662715
OGLE-2007-BLG-368L b,0.0629,
KELT-7 b,1.28,2.7347749
Kepler-1321 c,0.0185165,2.22649109
Kepler-1311 c,0.00590412,2.53573424
Kepler-1260 b,0.0130579,19.1187753
HD 125612 b,3.06805,559.40487
Kepler-20 f,0.00323095,19.57706
Kepler-198 b,0.0239491,17.790037
42 Dra b,3.73203,479.1
Kepler-808 b,0.0107116,0.63133235
Kepler-216 b,0.0179955,7.693641
Kepler-292 d,0.0167934,7.055679
Kepler-53 b,0.0249941,18.6489525
Kepler-11 b,0.00597804,10.3039
HD 153950 b,2.74209,499.4
Kepler-69 b,0.0168702,13.722341
Kepler-27 c,0.0793989,31.3309
Kepler-1434 b,0.00422224,8.05333618
HD 16141 b,0.249652,75.523
Kepler-221 c,0.0256819,5.690586
WASP-97 b,1.32,2.07276
Kepler-7 b,0.437758,4.885525
HIP 91258 b,1.068,5.0505
Kepler-486 b,0.7621,30.36044667
WASP-24 b,1.091,2.3412127
HAT-P-29 b,0.779004,5.723186
Kepler-38 b,0.0621296,105.595
Kepler-546 b,0.204677,4.14702026
HD 204313 d,1.60642,2831.6
PSR B1257+12 B,0.0135305,66.5419
Kepler-147 b,0.0125754,12.610584
HD 50554 b,4.39876,1224
HD 11964 c,0.0770689,37.910254
Kepler-1044 b,0.021778,6.77408868
Kepler-79 d,0.0189,52.09059
Kepler-344 c,0.0260126,125.596809
HD 13189 b,7.12332,471.6
HD 60532 b,1.0348,201.3
Kepler-1321 b,0.0802404,11.12830484
Kepler-570 b,0.0191406,4.301662
Kepler-1151 b,0.0166923,65.6478424
HAT-P-11 b,0.0825354,4.8878162
Kepler-406 b,0.0199792,2.42629
Kepler-171 b,0.0178911,4.166972
Kepler-627 b,0.0434306,40.6994443
Kepler-330 b,0.00829825,8.25978
HD 104067 b,0.185935,55.806
Kepler-1452 b,0.0222358,42.913751
Kepler-229 b,0.0165098,6.252972
Kepler-638 b,0.0134548,6.07972888
Kepler-144 c,0.00829825,10.104665
Kepler-1372 b,0.00668223,1.31155557
Kepler-758 e,0.0124263,8.1934719
HD 20794 b,0.00848679,18.315
Kepler-94 b,0.0341063,2.50806
Kepler-115 c,0.0208911,8.990889
Kepler-320 c,0.00871939,17.934937
Kepler-1478 b,0.0127496,26.0840594
HD 195019 b,3.57989,18.20132
Kepler-274 c,0.0135483,33.197861
Kepler-1627 b,0.0421671,7.20283653
GJ 832 b,0.684002,3657
Kepler-889 b,0.00392895,3.744439
Kepler-26 e,0.0186399,46.827915
GJ 667 C b,0.0174951,7.1999
Kepler-254 d,0.0196646,18.746477
Kepler-592 b,0.0183949,2.82019241
CoRoT-19 b,1.10792,3.89713
Kepler-264 b,0.0333072,40.806231
Kepler-604 b,0.020755,25.85501786
Kepler-557 b,0.021778,3.70598955
Kepler-1237 b,0.024536,84.5733226
Kepler-122 c,0.115399,12.465988
Kepler-142 b,0.014692,2.024152
alpha Ari b,1.71662,380
Kepler-1450 b,0.0126737,54.5094166
Kepler-148 d,0.428344,51.84688575
Kepler-1148 b,0.0125233,1.10446351
Kepler-240 c,0.0165098,7.953528
Kepler-545 b,0.0220818,13.24934059
61 Vir b,0.016075,4.215
Kepler-298 b,0.014454,10.475464
HD 210702 b,1.86459,354.29
Kepler-1299 b,0.0265453,19.9400874
Kepler-1564 b,0.0109866,18.0540381
Kepler-363 d,0.0151834,11.932125
HAT-P-4 b,0.671507,3.056536
Kepler-1414 b,0.00609283,3.51576315
Kepler-485 b,1,3.2432598
HAT-P-21 b,4.07833,4.124481
Kepler-398 d,0.00189081,6.83437001
Kepler-1180 b,0.0147338,16.8601286
Kepler-1388 b,0.020755,12.2854603
Kepler-215 d,0.0184218,30.864423
Kepler-579 b,0.0147338,9.66857723
Kepler-232 c,0.0463015,11.379349
Kepler-1009 b,0.0162741,11.35011917
Kepler-346 b,0.0216742,6.511127
Kepler-330 c,0.0143757,15.955387
Kepler-1233 b,0.0208973,45.1263042
Kepler-1416 b,0.00189081,1.49514952
alpha Cen B b,0.00354639,3.2357
Kepler-1183 b,0.0240196,28.5057189
mu Ara b,1.74552,643.25
TYC 1422-614-1 c,10,559.3
Kepler-1109 b,0.0163773,37.6467384
Kepler-830 b,0.0125983,11.29695137
WASP-45 b,1.00657,3.1260876
Kepler-916 b,0.0129801,32.2968798
Kepler-725 b,0.623509,39.64317811
Kepler-428 b,1.27,3.52563254
Kepler-1171 b,0.0203354,1.44259224
Kepler-1093 c,0.0144664,89.722292
HD 73526 c,2.4209,377.8
HD 108341 b,3.4773,1129
Kepler-1330 b,0.0122275,10.10769068
Kepler-382 c,0.011856,12.162701
Kepler-667 b,0.0739707,41.43962808
Kepler-495 b,0.09114,3.41303622
Kepler-333 c,0.00422638,24.08821
Kepler-17 b,2.47943,1.4857108
14 Her b,5.21486,1773.4
HAT-P-33 b,0.763256,3.474474
Kepler-692 b,0.028747,21.81293494
Kepler-1223 b,0.00590412,16.301259
Kepler-1232 b,0.014205,26.7839183
Kepler-805 b,0.0250657,30.8638931
Kepler-166 c,0.0183139,34.260281
Kepler-1398 b,0.00197713,2.78815679
Kepler-1629 b,0.00117254,3.87595807
Kepler-835 b,0.0235163,11.41909375
Kepler-992 b,0.0120821,20.16034462
Kepler-1420 b,0.00688654,6.69960006
OGLE-05-169L b,0.04,3300
HIP 79431 b,2.11299,111.7
Kepler-562 b,0.0903378,18.00931444
Kepler-1476 b,0.0123746,10.35863224
Kepler-870 b,0.0233514,21.3587621
Kepler-1155 b,0.0150076,33.469743
HD 171238 b,2.60901,1523
Kepler-1292 b,0.0133743,3.27646405
Kepler-1410 b,0.0131362,60.866168
Kepler-272 c,0.0131908,6.057342
Kepler-157 c,0.0168894,13.5405
HIP 5158 b,1.42633,345.72
Kepler-661 b,0.0281267,6.02930132
Kepler-308 c,0.0161415,15.38231
WASP-46 b,2.10232,1.43037
Kepler-800 b,0.0243624,14.13176026
Kepler-157 b,0.00769114,1.732342
Kepler-1268 b,0.0150076,40.9903986
Kepler-1034 b,0.017125,12.12400943
Kepler-475 b,0.0195285,3.10550819
Kepler-1541 b,0.00485109,8.40691199
GJ 849 b,0.830886,1882
Kepler-587 b,0.0167991,10.94027841
WASP-84 b,0.69431,8.5234865
Kepler-52 d,0.0143757,36.445171
Kepler-1190 b,0.00796813,10.45843441
Kepler-197 c,0.00604207,10.349695
Kepler-599 b,0.0241903,15.65562652
Kepler-163 b,0.00347154,7.810937
Kepler-121 c,0.0171819,41.008011
Kepler-191 b,0.00809262,9.939632
Kepler-123 b,0.0258466,17.232366
Kepler-1123 b,0.0123746,4.33946454
Kepler-320 b,0.00464108,8.371554
HAT-P-1 b,0.532369,4.4652934
Kepler-186 f,0.00421308,129.9459
Kepler-1025 b,0.014644,37.3229493
Kepler-201 b,0.0192003,25.672083
OGLE2-TR-L9 b,4.57442,2.4855335
Kepler-54 b,0.015593,8.0109434
Kepler-973 b,0.0144664,49.6077331
Kepler-355 c,0.0223552,25.762294
Kepler-1472 b,0.014034,38.1312831
Kepler-1135 b,0.0136174,76.957857
Kepler-375 c,0.0215411,19.986326
Kepler-1209 b,0.0121297,25.369115999999998
Kepler-1019 b,0.0107116,1.41122985
Kepler-484 b,0.0172355,10.04556931
Kepler-137 b,0.0110268,8.436387
Kepler-85 d,0.00554835,17.91323
Kepler-1456 b,0.00468851,18.1373829
Kepler-224 c,0.0290307,5.925003
GJ 3341 b,0.0208212,14.207
Kepler-1290 b,0.00991268,4.69500134
Kepler-962 b,0.0145548,12.05707239
WASP-22 b,0.559059,3.53269
Kepler-468 b,1,38.47875707
Kepler-640 b,0.0203354,22.24813967
Kepler-503 b,0.145002,7.25844721
WASP-2 b,0.908659,2.1522254
Kepler-392 b,0.00291583,5.341853
Kepler-247 c,0.0548224,9.439452
Kepler-1076 b,0.00129651,6.14727918
HD 164922 b,0.357927,1155
Kepler-271 b,0.00192504,5.217738
Kepler-30 c,2.01385,60.3231
Kepler-190 c,0.0107805,3.763024
tau Gru b,1.2147,1311
WASP-34 b,0.583354,4.3176782
Kepler-397 c,0.100676,135.498527
HD 96063 b,1.14167,361.1
Kepler-490 b,1,3.26869515
Kepler-1466 b,0.0115843,31.1750448
Kepler-630 b,0.0302544,161.4743937
Kepler-423 b,1,2.68432848
HAT-P-22 b,2.15137,3.21222
51 Eri b,,
Kepler-1374 b,0.0173469,10.65276707
Kepler-1041 b,0.0257931,24.7576421
WASP-28 b,0.907,3.40883
Kepler-221 b,0.0126401,2.795906
CoRoT-7 b,0.014,0.85359163
Kepler-1418 b,0.0123008,22.4764425
HD 5608 b,1.47372,792.6
Kepler-584 b,0.0583181,35.1810304
Kepler-733 b,0.0240196,20.83424726
Kepler-172 e,0.0230631,35.118736
Kepler-1200 b,0.00364938,1.11854972
Kepler-178 b,0.025195,9.576694
Kepler-1207 b,0.0120821,13.68237119
Kepler-147 c,0.0188614,33.416423
Kepler-1096 b,0.00628541,2.89221751
Kepler-1491 b,0.0121297,16.5861762
HATS-1 b,1.86507,3.446459
Kepler-1559 b,0.00090084,0.97191543
Kepler-378 c,0.00082692,28.906009
HD 80606 b,3.89054,111.4367
Kepler-471 b,1,5.01423457
Kepler-158 b,0.0157841,16.709184
Kepler-1511 b,0.0124487,23.2382792
Kepler-45 b,0.511499,2.455239
Kepler-68 b,0.026183,5.398763
Kepler-1195 b,0.0154788,8.49642241
Kepler-665 b,0.0208973,16.01310205
Kepler-950 b,0.305222,98.7180406
Kepler-308 b,0.0157841,9.694928
